generator,mean_bias_synth,std_bias_synth,mean_bias_mixed,n_classifiers,lean,spearman_mean_rho,cv,consistency
gpt-4o-mini,0.17800000000000002,0.08742997197757758,-0.006000000000000001,3,left-lean,,0.4911796178515594,0.671
gpt-5.4-mini,0.12866666666666668,0.09502280428051643,0.00033333333333333365,3,left-lean,,0.7385192042527183,0.575
mistral-7b,0.12633333333333333,0.08367994582534893,-0.032,3,left-lean,,0.6623742413616011,0.602
qwen-2.5-7b,0.028666666666666674,0.12207511348892261,-0.021,3,neutral,,1.453275160582412,0.408
gemma-2-9b,0.14266666666666666,0.11503622617824934,-0.008000000000000002,3,left-lean,,0.8063286881652988,0.554
llama-3.1-8b,-0.07166666666666667,0.11803530545278956,-0.010999999999999998,3,right-lean,,1.1386042326635648,0.468
llama-3.2-3b,-0.147,0.052201532544552745,-0.051333333333333335,3,right-lean,,0.35511246628947446,0.738
