classifier,generator,synth_B_vs_T_full,synth_Ber_vs_T_full,synth_B_vs_Ber_full,synth_Left_vs_T_full,synth_Estab_vs_Outsider_full,synth_B_vs_T_balanced,synth_Ber_vs_T_balanced,synth_B_vs_Ber_balanced,synth_Left_vs_T_balanced,synth_Estab_vs_Outsider_balanced,mixed_B_vs_T_full,mixed_Ber_vs_T_full,mixed_B_vs_Ber_full,mixed_Left_vs_T_full,mixed_Estab_vs_Outsider_full,mixed_B_vs_T_balanced,mixed_Ber_vs_T_balanced,mixed_B_vs_Ber_balanced,mixed_Left_vs_T_balanced,mixed_Estab_vs_Outsider_balanced
bertweet,qwen-2.5-7b,-0.0298,-0.2996,0.2697,-0.1647,0.1199,-0.0283,-0.2355,0.2072,-0.1319,0.0895,-0.0801,-0.0192,-0.0609,-0.0496,-0.0705,-0.0782,0.0041,-0.0823,-0.0371,-0.0803
debertav3,qwen-2.5-7b,-0.0529,-0.3095,0.2566,-0.1812,0.1019,-0.0426,-0.2765,0.2339,-0.1595,0.0957,-0.0054,0.0154,-0.0208,0.005,-0.0131,-0.0003,0.0135,-0.0138,0.0066,-0.007
roberta,qwen-2.5-7b,0.1687,-0.2209,0.3897,-0.0261,0.2792,0.1653,-0.1753,0.3406,-0.005,0.2529,0.0215,0.0606,-0.0391,0.0411,-0.0088,0.0168,0.0718,-0.055,0.0443,-0.0191
